t_s,BTC_TASK,BTU_TASK,IDLE0,IDLE1,audio,btController,esp_timer,hciT,input,ipc0,ipc1,maint,ui,charge_coeur0,charge_coeur1
761.0,0.0,0.0,95.91,86.51,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.39
771.1,0.0,0.0,95.9,85.97,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.14
781.2,0.0,0.0,95.91,86.58,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.37
791.3,0.0,0.0,95.92,86.63,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.39
801.5,0.0,0.0,95.91,85.9,11.42,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.74,2.1,12.16
811.6,0.0,0.0,95.9,86.57,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.37
821.7,0.0,0.0,95.91,86.65,11.41,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.41
831.8,0.0,0.0,95.91,85.91,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.13
841.9,0.0,0.0,95.9,86.56,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.39
852.1,0.0,0.0,95.91,86.67,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.39
862.2,0.0,0.0,95.9,85.84,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.74,2.1,12.11
872.3,0.0,0.0,95.91,86.64,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.37
882.4,0.0,0.0,95.91,86.68,11.35,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.35
892.5,0.0,0.0,95.89,85.82,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.75,2.13,12.14
902.7,0.0,0.0,95.91,86.68,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.37
912.8,0.0,0.0,95.91,86.69,11.35,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.35
922.9,0.0,0.0,95.91,85.83,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.13
933.0,0.0,0.0,95.9,86.69,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.36
943.1,0.0,0.0,95.91,86.39,11.61,0.0,0.0,0.0,0.0,0.0,0.0,2.08,0.0,2.08,11.61
953.3,0.0,0.0,95.91,85.7,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.75,2.1,12.3
963.4,0.0,0.0,95.9,86.49,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
973.5,0.0,0.0,95.91,86.46,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
983.6,0.0,0.0,95.91,85.7,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.74,2.1,12.3
993.7,0.0,0.0,95.91,86.45,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.56
1003.9,0.0,0.0,95.92,86.52,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.51
1014.0,0.0,0.0,95.89,85.73,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.26
1024.1,0.0,0.0,95.9,86.45,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1034.2,0.0,0.0,95.89,86.43,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.5
1044.3,0.0,0.0,95.88,85.77,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.75,2.14,12.29
1054.5,0.0,0.0,95.88,86.46,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1064.6,0.0,0.0,95.88,86.45,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.5
1074.7,0.0,0.0,95.88,85.72,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.3
1084.8,0.0,0.0,95.89,86.49,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.52
1094.9,0.0,0.0,95.88,86.36,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.54
1105.1,0.0,0.0,95.87,85.76,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.27
1115.2,0.0,0.0,95.89,86.48,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.53
1125.3,0.0,0.0,95.88,86.45,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.53
1135.4,0.0,0.0,95.86,85.77,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.74,2.14,12.26
1145.5,0.0,0.0,95.89,86.44,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.56
1155.7,0.0,0.0,95.88,86.42,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.52
1165.8,0.0,0.0,95.87,85.74,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.73,2.13,12.28
1175.9,0.0,0.0,95.87,86.46,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.51
1186.0,0.0,0.0,95.88,86.38,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.54
1196.1,0.0,0.0,95.88,85.83,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.73,2.13,12.26
1206.3,0.0,0.0,95.89,86.39,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.55
1216.4,0.0,0.0,95.88,86.48,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1226.5,0.0,0.0,95.88,85.77,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.73,2.12,12.24
1236.6,0.0,0.0,95.88,86.41,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.56
1246.7,0.0,0.0,95.87,86.47,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.51
1256.9,0.0,0.0,95.87,85.67,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.27
1267.0,0.0,0.0,95.88,86.5,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1277.1,0.0,0.0,95.88,86.47,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.5
1287.2,0.0,0.0,95.88,85.74,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.28
1297.3,0.0,0.0,95.88,86.48,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.51
1307.5,0.0,0.0,95.88,86.44,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1317.6,0.0,0.0,95.87,85.7,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.28
1327.7,0.0,0.0,95.89,86.47,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.51
1337.8,0.0,0.0,95.89,86.47,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1347.9,0.0,0.0,95.88,85.52,11.67,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.41
1358.1,0.0,0.0,95.89,86.64,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.39
1368.2,0.0,0.0,95.88,86.65,11.33,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.33
1378.3,0.0,0.0,95.88,85.88,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.12
1388.4,0.0,0.0,95.88,86.64,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.38
1398.5,0.0,0.0,95.89,86.52,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.38
1408.7,0.0,0.0,95.88,85.88,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.75,2.13,12.15
1418.8,0.0,0.0,95.87,86.67,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.36
1428.9,0.0,0.0,95.89,86.59,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.37
1439.0,0.0,0.0,95.88,85.91,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.13
1449.1,0.0,0.0,95.88,86.63,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.36
1459.3,0.0,0.0,95.88,86.58,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.38
1469.4,0.0,0.0,95.89,85.85,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.12
1479.5,0.0,0.0,95.88,86.65,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.36
1489.6,0.0,0.0,95.89,86.64,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.37
1499.7,0.0,0.0,95.89,85.9,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.11
1509.9,0.0,0.0,95.89,86.61,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.36
1520.0,0.0,0.0,95.88,86.63,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.38
1530.1,0.0,0.0,95.89,85.91,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.12
1540.2,0.0,0.0,95.89,86.57,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.37
1550.3,0.0,0.0,95.88,85.98,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.64,2.11,12.02
1560.5,0.0,0.0,95.85,86.5,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.13,2.12,11.51
1570.6,0.0,0.0,95.9,86.61,11.4,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.4
1580.7,0.0,0.0,95.89,85.88,11.38,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.12
1590.8,0.0,0.0,95.87,86.55,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.39
1601.0,0.0,0.0,95.88,86.6,11.36,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.36
1611.1,0.0,0.0,95.89,85.94,11.37,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.11
1621.2,0.0,0.0,95.88,86.62,11.39,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.39
1631.3,0.0,0.0,95.88,86.43,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.52
1641.4,0.0,0.0,95.89,85.76,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.73,2.13,12.27
1651.6,0.0,0.0,95.86,86.46,11.49,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.49
1661.7,0.0,0.0,95.88,86.46,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1671.8,0.0,0.0,95.88,85.74,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.26
1681.9,0.0,0.0,95.87,86.48,11.49,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.49
1692.0,0.0,0.0,95.89,86.4,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1702.2,0.0,0.0,95.89,85.78,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.25
1712.3,0.0,0.0,95.87,86.46,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.55
1722.4,0.0,0.0,95.89,86.45,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.51
1732.5,0.0,0.0,95.89,85.72,11.56,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.73,2.12,12.29
1742.6,0.0,0.0,95.87,86.5,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.51
1752.8,0.0,0.0,95.88,86.38,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.55
1762.9,0.0,0.0,95.89,85.73,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.74,2.11,12.28
1773.0,0.0,0.0,95.87,86.5,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.5
1783.1,0.0,0.0,95.89,86.44,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.09,0.0,2.09,11.54
1793.2,0.0,0.0,95.88,85.76,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.27
1803.4,0.0,0.0,95.88,86.47,11.5,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.5
1813.5,0.0,0.0,95.88,86.42,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
1823.6,0.0,0.0,95.88,85.75,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.26
1833.7,0.0,0.0,95.88,86.49,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1843.8,0.0,0.0,95.88,86.46,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1854.0,0.0,0.0,95.86,85.71,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.14,0.74,2.14,12.28
1864.1,0.0,0.0,95.87,86.42,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.52
1874.2,0.0,0.0,95.89,86.47,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.52
1884.3,0.0,0.0,95.89,85.77,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.73,2.12,12.27
1894.4,0.0,0.0,95.88,86.48,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.52
1904.6,0.0,0.0,95.89,86.45,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.55
1914.7,0.0,0.0,95.88,85.7,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.29
1924.8,0.0,0.0,95.87,86.4,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.54
1934.9,0.0,0.0,95.88,86.5,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.52
1945.0,0.0,0.0,95.88,85.78,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.27
1955.2,0.0,0.0,95.89,86.28,11.65,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.65
1965.3,0.0,0.0,95.88,86.52,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.52
1975.4,0.0,0.0,95.89,85.74,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.27
1985.5,0.0,0.0,95.89,86.45,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
1995.6,0.0,0.0,95.89,86.45,11.52,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.0,2.12,11.52
2005.8,0.0,0.0,95.88,85.78,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.73,2.13,12.27
2015.9,0.0,0.0,95.88,86.39,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.55
2026.0,0.0,0.0,95.9,86.48,11.53,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.53
2036.1,0.0,0.0,95.88,85.79,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.73,2.13,12.24
2046.2,0.0,0.0,95.88,86.41,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
2056.4,0.0,0.0,95.89,86.52,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.51
2066.5,0.0,0.0,95.88,85.72,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.12,0.74,2.12,12.28
2076.6,0.0,0.0,95.88,86.4,11.54,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.54
2086.7,0.0,0.0,95.88,86.47,11.49,0.0,0.0,0.0,0.0,0.0,0.0,2.11,0.0,2.11,11.49
2096.8,0.0,0.0,95.87,85.74,11.55,0.0,0.0,0.0,0.0,0.0,0.0,2.13,0.74,2.13,12.29
2107.0,0.0,0.0,95.87,86.5,11.51,0.0,0.0,0.0,0.0,0.0,0.0,2.1,0.0,2.1,11.51
